ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 2;measure;kernel.c:69-70;kernel;Innermost;18.226623535156;18.226623535156;97.464637756348;1.00;2.00;2.00;1.00;1;1.54;10.38;68.00 - 80.00;68.00 - 80.00;34.00 - 40.00;34.00 - 40.00;68.00 - 80.00
Loop 1;measure;kernel.c:69-70;kernel;Innermost;0.46415001153946;0.46415001153946;2.4819853305817;1.00;2.04;3.29 - 2.80;1.00;1;0.00;10.16;14.00;14.00;6.85;4.25 - 5.00;14.00
