Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;398147;13.808953285217;0;13.808953285217;0;1742725931;0;0;589194;0;0;100;2774.9997833822;0;0;1742725917;0;0;
MathieuMint;_ALL;_ALL;0;398147;13.808953285217;0;13.808953285217;0;1742725931;0;0;589194;0;0;100;2774.9997833822;0;0;1742725917;0;0;
MathieuMint;6000;_ALL;0;398147;13.808953285217;0;13.808953285217;0;1742725931;0;0;589194;0;0;100;2774.9997833822;0;0;1742725917;0;0;
MathieuMint;6000;6000;11.123711585999;398147;13.808953285217;0;13.808953285217;0;1742725931;0;0;589194;0;0;100;2774.9997833822;11.123711585999;0;1742725917;0;0;
