Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;488293;13.807336807251;0;13.807336807251;0;1742727187;0;0;680956;0;0;100;2773.0000414919;0;0;1742727173;0;0;
MathieuMint;_ALL;_ALL;0;488293;13.807336807251;0;13.807336807251;0;1742727187;0;0;680956;0;0;100;2773.0000414919;0;0;1742727173;0;0;
MathieuMint;7538;_ALL;0;488293;13.807336807251;0;13.807336807251;0;1742727187;0;0;680956;0;0;100;2773.0000414919;0;0;1742727173;0;0;
MathieuMint;7538;7538;13.796216011047;488293;13.807336807251;0;13.807336807251;0;1742727187;0;0;680956;0;0;100;2773.0000414919;13.796216011047;0;1742727173;0;0;
