Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;79941;13.807534217834;0;13.807534217834;0;1742724042;0;0;272407;0;0;100;2775.999896132;0;0;1742724028;0;0;
MathieuMint;_ALL;_ALL;0;79941;13.807534217834;0;13.807534217834;0;1742724042;0;0;272407;0;0;100;2775.999896132;0;0;1742724028;0;0;
MathieuMint;3758;_ALL;0;79941;13.807534217834;0;13.807534217834;0;1742724042;0;0;272407;0;0;100;2775.999896132;0;0;1742724028;0;0;
MathieuMint;3758;3758;13.798263549805;79941;13.807534217834;0;13.807534217834;0;1742724042;0;0;272407;0;0;100;2775.999896132;13.798263549805;0;1742724028;0;0;
