Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;315981;13.806966781616;0;13.806966781616;0;1742726175;0.036062023230311;0.036062023230311;509014;0;0;99.927875114035;2773.0002657185;0;0;1742726161;0;0;
MathieuMint;_ALL;_ALL;0;315981;13.806966781616;0;13.806966781616;0;1742726175;0.036062023230311;0.036062023230311;509014;0;0;99.927875114035;2773.0002657185;0;0;1742726161;0;0;
MathieuMint;6323;_ALL;0;315981;13.806966781616;0;13.806966781616;0;1742726175;0.036062023230311;0.036062023230311;509014;0;0;99.927875114035;2773.0002657185;0;0;1742726161;0;0;
MathieuMint;6323;6323;13.797918319702;315981;13.806966781616;0;13.806966781616;0;1742726175;0.036062023230311;0.036062023230311;509014;0;0;99.927875114035;2773.0002657185;13.797918319702;0;1742726161;0;0;
