Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;250665;13.810378074646;0;13.810378074646;0;1742726110;0.072098050074991;0;440287;0;0;99.927901362185;2774.0001261057;0;0;1742726096;0;0;
MathieuMint;_ALL;_ALL;0;250665;13.810378074646;0;13.810378074646;0;1742726110;0.072098050074991;0;440287;0;0;99.927901362185;2774.0001261057;0;0;1742726096;0;0;
MathieuMint;6234;_ALL;0;250665;13.810378074646;0;13.810378074646;0;1742726110;0.072098050074991;0;440287;0;0;99.927901362185;2774.0001261057;0;0;1742726096;0;0;
MathieuMint;6234;6234;8.3431272506714;250665;13.810378074646;0;13.810378074646;0;1742726110;0.072098050074991;0;440287;0;0;99.927901362185;2774.0001261057;8.3431272506714;0;1742726096;0;0;
