Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;747342;2.0350003242493;0;2.0431509017944;0;1744402915;0;0;704191;0;0;99.999997229983;407.00007518743;0;0;1744402913;0;0;
MathieuMint;_ALL;_ALL;0;747342;2.0350003242493;0;2.0431509017944;0;1744402915;0;0;704191;0;0;99.999997229983;407.00007518743;0;0;1744402913;0;0;
MathieuMint;14115;_ALL;0;747342;2.0350003242493;0;2.0431509017944;0;1744402915;0;0;704191;0;0;99.999997229983;407.00007518743;0;0;1744402913;0;0;
MathieuMint;14115;14115;1.8366820812225;747342;2.0350003242493;0;2.0431509017944;0;1744402915;0;0;704191;0;0;99.999997229983;407.00007518743;1.8366820812225;0;1744402913;0;0;
