ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 7;measure;kernel.c:52-56;kernel;Innermost;13.050000190735;13.050000190735;95.639442443848;1.00;2.00;2.08 - 2.00;1.00;2;11.44;25.00;12.50 - 21.00;12.50 - 21.00;7.03 - 10.50;6.00 - 10.50;12.50 - 21.00
Loop 0;measure;driver.c:17-18;main;Innermost;0.044999998062849;0.044999998062849;0.32979115843773;1.00;2.00;2.00;1.00;1;25.00;28.13;8.00 - 14.00;8.00 - 14.00;4.00 - 7.00;4.00 - 7.00;8.00 - 14.00
