Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;155893;13.806534767151;0;13.806534767151;0;1742725915;0.036088054710957;0;349358;0;0;99.963909701644;2771.0000109714;0;0;1742725901;0;0;
MathieuMint;_ALL;_ALL;0;155893;13.806534767151;0;13.806534767151;0;1742725915;0.036088054710957;0;349358;0;0;99.963909701644;2771.0000109714;0;0;1742725901;0;0;
MathieuMint;5980;_ALL;0;155893;13.806534767151;0;13.806534767151;0;1742725915;0.036088054710957;0;349358;0;0;99.963909701644;2771.0000109714;0;0;1742725901;0;0;
MathieuMint;5980;5980;9.2806663513184;155893;13.806534767151;0;13.806534767151;0;1742725915;0.036088054710957;0;349358;0;0;99.963909701644;2771.0000109714;9.2806663513184;0;1742725901;0;0;
