Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;509014;13.807787895203;0;13.807787895203;0;1742724351;0.036062015335808;0;701226;0;0;99.963937966669;2773.0008727689;0;0;1742724337;0;0;
MathieuMint;_ALL;_ALL;0;509014;13.807787895203;0;13.807787895203;0;1742724351;0.036062015335808;0;701226;0;0;99.963937966669;2773.0008727689;0;0;1742724337;0;0;
MathieuMint;4230;_ALL;0;509014;13.807787895203;0;13.807787895203;0;1742724351;0.036062015335808;0;701226;0;0;99.963937966669;2773.0008727689;0;0;1742724337;0;0;
MathieuMint;4230;4230;10.75274181366;509014;13.807787895203;0;13.807787895203;0;1742724351;0.036062015335808;0;701226;0;0;99.963937966669;2773.0008727689;10.75274181366;0;1742724337;0;0;
