loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
2;measure;kernel;6;kernel.c:52-53;Innermost;97.006851196289;13.393332481384;13.393332481384;13.393332481384;13.393332481384;0;0;97.006851196289;13.393332481384;13.393332481384;13.393332481384;13.393332481384;0;0;1;;
1;measure;kernel;6;kernel.c:52-53;Innermost;2.8128378391266;0.38835683465004;0.38835680484772;0.38835680484772;0.38835680484772;0;0;2.8128378391266;0.38835683465004;0.38835680484772;0.38835680484772;0.38835680484772;0;0;1;;
0;measure;kernel;6;kernel.c:51-52;Outermost;99.963943481445;13.801606178284;13.801605224609;13.801605224609;13.801605224609;0;0;0.14424808323383;0.019915733486414;0.019915733486414;0.019915733486414;0.019915733486414;0;0;1;;
