Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;189470;13.810799598694;0;13.810799598694;0;1742726499;0.10818610241962;0;378670;0;0;99.89182280749;2772.9993499819;0;0;1742726485;0;0;
MathieuMint;_ALL;_ALL;0;189470;13.810799598694;0;13.810799598694;0;1742726499;0.10818610241962;0;378670;0;0;99.89182280749;2772.9993499819;0;0;1742726485;0;0;
MathieuMint;6689;_ALL;0;189470;13.810799598694;0;13.810799598694;0;1742726499;0.10818610241962;0;378670;0;0;99.89182280749;2772.9993499819;0;0;1742726485;0;0;
MathieuMint;6689;6689;9.4431982040405;189470;13.810799598694;0;13.810799598694;0;1742726499;0.10818610241962;0;378670;0;0;99.89182280749;2772.9993499819;9.4431982040405;0;1742726485;0;0;
