loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
2;measure;kernel;6;kernel.c:52-53;Innermost;97.330451965332;13.437298774719;;;;;;97.330451965332;13.437298774719;;;;;;;;
1;measure;kernel;6;kernel.c:52-53;Innermost;2.597403049469;0.35859364271164;;;;;;2.597403049469;0.35859364271164;;;;;;;;
0;measure;kernel;6;kernel.c:51-52;Outermost;99.963935852051;13.800873756409;;;;;;0.036075040698051;0.0049804672598839;;;;;;;;
