Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;232316;13.812479972839;0;13.812479972839;0;1742726564;0.036036047541697;0;419836;0;0;99.963965457431;2774.9991139925;0;0;1742726550;0;0;
MathieuMint;_ALL;_ALL;0;232316;13.812479972839;0;13.812479972839;0;1742726564;0.036036047541697;0;419836;0;0;99.963965457431;2774.9991139925;0;0;1742726550;0;0;
MathieuMint;6773;_ALL;0;232316;13.812479972839;0;13.812479972839;0;1742726564;0.036036047541697;0;419836;0;0;99.963965457431;2774.9991139925;0;0;1742726550;0;0;
MathieuMint;6773;6773;6.0090708732605;232316;13.812479972839;0;13.812479972839;0;1742726564;0.036036047541697;0;419836;0;0;99.963965457431;2774.9991139925;6.0090708732605;0;1742726550;0;0;
