Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;269335;13.807089805603;0;13.807089805603;0;1742726759;0.072124060091717;0;462245;0;0;99.927874542483;2772.999741635;0;0;1742726745;0;0;
MathieuMint;_ALL;_ALL;0;269335;13.807089805603;0;13.807089805603;0;1742726759;0.072124060091717;0;462245;0;0;99.927874542483;2772.999741635;0;0;1742726745;0;0;
MathieuMint;7026;_ALL;0;269335;13.807089805603;0;13.807089805603;0;1742726759;0.072124060091717;0;462245;0;0;99.927874542483;2772.999741635;0;0;1742726745;0;0;
MathieuMint;7026;7026;11.087919235229;269335;13.807089805603;0;13.807089805603;0;1742726759;0.072124060091717;0;462245;0;0;99.927874542483;2772.999741635;11.087919235229;0;1742726745;0;0;
